pc_index,heldout_component_variance,heldout_explained_variance_ratio,heldout_explained_variance_percent,heldout_cumulative_explained_variance_ratio,training_explained_variance_ratio
1,945.4828,0.11963715,11.963715,0.11963715,0.120484225
2,843.748,0.10676408,10.676408,0.22640122,0.10680068
3,399.4065,0.050539106,5.0539107,0.27694035,0.051409893
4,219.10597,0.027724685,2.7724686,0.30466503,0.03049435
5,169.21295,0.021411447,2.1411448,0.32607648,0.021298354
6,117.68771,0.014891675,1.4891675,0.34096816,0.015956027
7,87.21,0.011035162,1.1035162,0.35200334,0.011776361
8,80.932144,0.01024079,1.0240791,0.36224413,0.010627666
9,76.187126,0.009640377,0.9640377,0.3718845,0.010107192
10,67.7334,0.00857068,0.85706806,0.38045517,0.00861089
11,62.380177,0.007893307,0.7893307,0.38834846,0.0081532765
12,61.534718,0.007786327,0.7786327,0.3961348,0.007627246
13,58.64016,0.0074200626,0.74200624,0.40355486,0.0072717657
14,48.712944,0.006163917,0.6163917,0.40971878,0.006750094
15,47.324535,0.005988234,0.5988234,0.41570702,0.0065010507
16,47.834866,0.0060528093,0.60528094,0.42175984,0.0060780547
17,49.912525,0.0063157068,0.6315707,0.42807555,0.0056787487
18,40.92753,0.005178786,0.5178786,0.43325433,0.0052131983
19,39.44623,0.004991349,0.4991349,0.43824568,0.005137461
20,38.755005,0.004903884,0.49038842,0.44314957,0.0049005058
21,32.202484,0.004074758,0.4074758,0.44722432,0.0044548265
22,30.480326,0.0038568436,0.38568437,0.45108116,0.004296843
23,31.135597,0.0039397585,0.39397585,0.4550209,0.0042767012
24,30.91708,0.0039121085,0.39121085,0.45893303,0.003921541
25,30.21529,0.003823307,0.38233072,0.46275634,0.0038131417
26,28.06597,0.0035513418,0.3551342,0.46630767,0.0036424906
27,27.691753,0.0035039901,0.35039902,0.46981165,0.0035205968
28,25.541395,0.0032318935,0.32318935,0.47304353,0.0034602194
29,26.284046,0.0033258651,0.33258653,0.4763694,0.003353034
30,25.228857,0.0031923463,0.31923464,0.47956175,0.0033144634
31,22.286991,0.0028200957,0.28200957,0.48238185,0.0030931772
32,23.382113,0.0029586675,0.29586676,0.4853405,0.0030786183
33,20.328829,0.0025723188,0.2572319,0.48791283,0.0028848243
34,19.122803,0.0024197137,0.24197136,0.49033254,0.0027614168
35,19.275084,0.0024389825,0.24389824,0.49277154,0.0026613534
36,16.601517,0.0021006814,0.21006814,0.4948722,0.002658339
37,18.237783,0.0023077272,0.23077272,0.49717993,0.0026076566
38,19.035759,0.0024086994,0.24086994,0.49958864,0.0025100685
39,20.479647,0.0025914025,0.25914025,0.50218004,0.0024842443
40,17.263277,0.0021844176,0.21844175,0.50436443,0.0024352283
41,17.63122,0.0022309753,0.22309753,0.50659543,0.0023563076
42,16.846468,0.0021316763,0.21316764,0.50872713,0.002297112
43,15.49434,0.0019605842,0.19605842,0.5106877,0.0022578198
44,17.793186,0.00225147,0.225147,0.51293916,0.0022078918
45,16.752764,0.0021198194,0.21198194,0.515059,0.0021169279
46,14.093996,0.001783391,0.1783391,0.51684237,0.002072286
47,15.060323,0.0019056656,0.19056655,0.51874804,0.002036481
48,14.814387,0.001874546,0.18745461,0.5206226,0.0020334565
49,14.194165,0.001796066,0.1796066,0.5224187,0.0019463024
50,14.580084,0.0018448983,0.18448983,0.52426356,0.0019004316
51,13.807146,0.0017470942,0.17470942,0.52601063,0.0018748383
52,12.732514,0.0016111152,0.16111152,0.52762175,0.0018207856
53,14.198337,0.0017965938,0.17965938,0.52941835,0.0018073762
54,12.101155,0.0015312259,0.15312259,0.5309496,0.0017747721
55,13.558399,0.001715619,0.1715619,0.5326652,0.0017449867
56,13.245139,0.0016759804,0.16759804,0.53434116,0.0016938725
57,12.366663,0.001564822,0.1564822,0.53590596,0.0016832405
58,12.21672,0.0015458488,0.15458488,0.5374518,0.0016652256
59,12.077282,0.001528205,0.1528205,0.53898,0.0016167503
60,11.779465,0.0014905205,0.14905205,0.54047054,0.0015662707
61,11.184934,0.0014152913,0.14152913,0.54188585,0.0015305597
62,12.115815,0.0015330808,0.15330808,0.54341894,0.0015058308
63,10.826147,0.001369892,0.1369892,0.54478884,0.0014742509
64,9.925405,0.0012559161,0.1255916,0.54604477,0.0014397581
65,10.731315,0.0013578924,0.13578925,0.5474027,0.001437293
66,10.131125,0.0012819471,0.12819472,0.54868466,0.0014164809
67,10.130329,0.0012818463,0.12818463,0.5499665,0.0013934191
68,9.401593,0.0011896354,0.11896354,0.55115616,0.0013697455
69,9.5511055,0.001208554,0.120855406,0.5523647,0.0013570781
70,9.224435,0.0011672186,0.11672185,0.55353194,0.0013471702
71,9.554615,0.001208998,0.120899804,0.55474097,0.0013225089
72,9.810319,0.0012413537,0.12413537,0.5559823,0.0013004517
73,9.402842,0.0011897933,0.118979335,0.55717206,0.0012868934
74,9.163825,0.0011595492,0.11595492,0.5583316,0.0012739999
75,8.976734,0.0011358756,0.11358756,0.5594675,0.0012556452
76,8.19089,0.0010364385,0.10364385,0.56050396,0.0012418298
77,9.137887,0.0011562672,0.11562672,0.56166023,0.0012263105
78,9.249284,0.0011703628,0.11703628,0.56283057,0.0012166674
79,8.561222,0.0010832986,0.10832986,0.5639139,0.0011897259
80,8.8449335,0.0011191982,0.11191981,0.5650331,0.0011789043
81,8.717414,0.0011030624,0.11030624,0.5661361,0.0011613505
82,8.241871,0.0010428893,0.10428893,0.567179,0.0011314265
83,8.395294,0.0010623029,0.10623029,0.5682413,0.001122474
84,8.827131,0.0011169455,0.11169455,0.5693582,0.0011151569
85,8.037827,0.0010170705,0.10170705,0.5703753,0.001108862
86,8.112001,0.0010264562,0.10264562,0.5714018,0.0011004575
87,7.7372575,0.0009790378,0.09790378,0.57238084,0.0010674042
88,8.051842,0.0010188438,0.10188439,0.57339966,0.0010567129
89,7.2502875,0.0009174188,0.09174188,0.5743171,0.0010514823
90,7.5947866,0.00096101017,0.096101016,0.5752781,0.0010384138
91,7.261977,0.000918898,0.0918898,0.576197,0.0010195485
92,7.6786795,0.0009716256,0.09716256,0.57716864,0.001007219
93,7.12972,0.0009021628,0.09021628,0.5780708,0.0010006588
94,7.794518,0.0009862833,0.09862833,0.5790571,0.0009894627
95,6.968892,0.0008818123,0.08818123,0.5799389,0.0009844749
96,6.8026834,0.000860781,0.0860781,0.5807997,0.0009610915
97,6.650738,0.0008415545,0.08415545,0.58164126,0.00094394415
98,6.8546195,0.00086735276,0.08673528,0.5825086,0.00092998386
